gene_id	score
COL23A1	-9.161122279153010000e-04
BCAR1	-1.6860243638860000e-04
FAM160A2	-3.729508824342550000e-04
HERPUD1	-1.30696508652817000e-03
HOMER3	-2.214922107688970000e-04
RAD51	8.257890087886150000e-04
POLQ	1.46517904968491000e-03
PIK3CB	2.561523489370240000e-04
CYBA	-2.875117298343930000e-04
THOC3	6.748038363766790000e-04
HEBP2	-6.786013452834330000e-04
MPHOSPH9	2.931531089362610000e-04
PLEKHA5	6.170332489356330000e-04
PRSS8	8.020719008479110000e-04
SIKE1	1.879698040473280000e-04
RRP12	1.28424525968635000e-03
FNIP2	-1.746859868043680000e-04
MSMO1	1.892345017983280000e-04
TTC17	-4.690338223201470000e-04
ALX4	-3.05771375831665000e-03
FOXN3	1.21474926350379000e-03
METTL24	-4.56251966105265000e-03
AKR7A2	-6.082276243846430000e-04
MRTO4	7.420761754471130000e-04
NNAT	-9.538846256207550000e-04
USE1	-4.032016175744380000e-04
MCF2L2	-3.144988882232260000e-04
AP5M1	3.06495381483054e-05
ANAPC4	6.505624474496130000e-04
TRAPPC3	-2.457055721938260000e-04
THRAP3	5.6987405876510000e-04
PHPT1	-6.706848556576420000e-04
ARID4B	-2.051896098113620000e-04
OPN3	1.664850447040020000e-04
SDCCAG8	-4.995372921387360000e-04
PTPRN	8.551436154179080000e-04
HHAT	-3.23733284779371000e-03
KIF1B	4.85797960997788e-05
FOXC1	-6.65858875586584000e-03
TBC1D22A	-5.26594531465625e-05
SYNE2	2.728528117947390000e-04
PLEKHH1	4.029757893388690000e-04
ATP9A	-1.22135038688342000e-03
CHRDL2	4.426844391054030000e-04
FAM168A	-3.555256828786560000e-04
RELT	-4.2844557703256e-05
GALC	-1.28609719748493000e-03
NOP58	1.05301540626254000e-03
SZRD1	-2.723149391399330000e-04
KCNH2	1.12181654998222000e-03
CUL1	4.609568378842540000e-04
FAM114A2	-4.711694299535060000e-04
CYFIP2	6.568742921372630000e-04
TAB2	-2.36433126644568e-05
GINM1	-3.453249050585690000e-04
EIF2AK2	7.282001278735020000e-04
USP36	6.218357873971570000e-04
KMT2C	-4.003837736229830000e-04
MCOLN3	8.204576589674360000e-04
PUM2	2.739183328863030000e-04
MRPL43	-1.031809723459130000e-04
ITIH4	4.007308349438780000e-04
HPF1	2.034180303152270000e-04
ZFR	9.79726383948379e-05
ZNF280C	7.90203480088170000e-04
NPFFR2	1.18094118339073000e-03
PHF21B	8.412403878693360000e-04
RC3H2	-2.77550269065091e-06
IL17RB	1.37472372254679000e-03
TRAF3IP2	4.518560748712660000e-04
GYG2	6.442722901613750000e-04
DCBLD2	-2.368396736929420000e-04
SOAT1	-1.53379286004354000e-03
PKP2	-1.25625227540481000e-03
GDI2	2.606432935062160000e-04
PRDM1	-3.25723250512107000e-03
ATG5	7.513429763740560000e-04
TMCC3	-9.231786597829870000e-04
PITHD1	4.887735646092610000e-04
MTA3	1.16711750035072000e-03
USP13	4.541081342105570000e-04
ATP11B	-4.481985103363480000e-04
LAMC2	-9.79429183679149e-05
CDK14	1.773919513916210000e-04
SEC61A1	-3.988073712132080000e-04
PPP1R12A	1.988781334794620000e-04
CROCC	6.33129287165393e-05
POLR3E	7.459822015939910000e-04
ATP2B4	-1.38591322906646000e-03
ZC3H11A	-4.032294133188530000e-04
RIOK2	4.397996200393580000e-04
YIPF1	1.676191982894180000e-04
NDC1	1.21825613638936000e-03
FLYWCH1	-5.897509310004630000e-04
UNKL	4.275131688249710000e-04
TBXAS1	-8.718473558470250000e-04
PARP12	2.02082056575534000e-03
ALDH18A1	2.054445436019250000e-04
TARBP1	-1.052936760336320000e-04
GATB	3.529909287836530000e-04
MXD1	-9.406897799092960000e-04
CDK17	-6.145871711302810000e-04
DNAJC25	-3.20393112113710000e-04
SLC2A3	-8.506597944878230000e-04
PSD	-5.556576107787520000e-04
CTDP1	6.769567075177320000e-04
YBX3	3.74257234560670000e-04
WNK1	-3.054381272749530000e-04
CCAR1	3.463660119357780000e-04
OGFR	-3.930713835591710000e-04
PIGV	-4.60597741527898e-05
PTPRU	-5.594526913510080000e-04
SNRNP40	6.607307988014620000e-04
RIMBP2	-3.48462721670653000e-03
COL11A1	-2.72518022011954000e-03
QSER1	1.3827758226409000e-03
MPC1	-8.4768350636051e-05
ACAA1	-3.548367621112530000e-04
BCAT1	9.294078349012250000e-04
HDAC7	-3.718686455539350000e-04
LZTS1	-7.894656912683290000e-04
PRDM6	-3.61979505643067000e-03
SPAG4	-6.89938855417610000e-04
NCKAP1	1.450934415812480000e-04
MRPS35	5.482512896112190000e-04
GUCY1B1	-1.81827061496083000e-03
SFSWAP	1.40211191194930000e-04
TNK2	-4.273181055201020000e-04
MON2	-5.481597793086990000e-04
CDH3	9.387431041862980000e-04
GPBP1	2.486200728742020000e-04
DGAT2	-6.301517706706280000e-04
ZNF112	-2.690755728305080000e-04
CS	1.066394139673940000e-04
MRPS24	4.923451441879220000e-04
ELMO2	-4.138957797612380000e-04
WAPL	4.832721593515560000e-04
VMP1	-2.948411959927520000e-04
APPBP2	-6.949680174094330000e-04
POLD1	5.08173380775660000e-04
SEZ6	3.37728285030975000e-03
EIF4B	2.664172862004770000e-04
SLC6A16	-7.411091144558420000e-04
BICRA	3.127280958888590000e-04
SPHK2	6.868503856703450000e-04
RPL18	-4.78803454103090000e-04
CA11	1.16907792050944000e-03
ISOC2	1.042938847206000e-03
U2AF2	2.687074602310550000e-04
EPN1	7.96798576687129e-05
MED29	1.730143008278810000e-04
ZNF275	-1.270994241584540000e-04
MTMR1	3.68273327963980000e-04
GPC1	-1.06482942330135000e-03
ADCK1	1.07994139406465000e-03
HAGH	-1.09405555715781000e-03
RNF4	3.578491146721790000e-04
CASP8	6.203291221484720000e-04
LIMCH1	-7.148902644928690000e-04
INTS13	1.12036642181199000e-03
TM7SF3	3.240528143500020000e-04
SPA17	-8.555219245095330000e-04
ST3GAL6	-1.85525738035920000e-04
NGFR	2.865786043194470000e-04
CDON	-9.195693074257720000e-04
TAF2	2.550966954043640000e-04
HIPK2	-1.06705467289399000e-03
TNPO3	9.637564663818310000e-04
BORCS8-MEF2B	-3.080651411964930000e-04
RFXANK	-4.275834926408940000e-04
TMEM161A	1.56232886913230000e-04
LPAR2	-2.941865969506210000e-04
CTSA	-3.524999314790690000e-04
SUGP2	-1.805580761796270000e-04
SLC12A2	-1.328948610098870000e-04
SNX24	-2.296261332188690000e-04
EYA2	-2.06561298978213000e-03
CNN2	-1.962749434820790000e-04
ABCA7	-3.099536679076170000e-04
SNCAIP	2.607304985945450000e-04
DDX20	8.056238850622180000e-04
BTBD1	-1.290164543932230000e-04
FAR2	1.04044308451445000e-03
SBNO2	-7.34677350694625e-06
PMS1	8.322959532248620000e-04
HMG20B	-6.21743037789032e-05
CALCRL	1.59457901786346000e-03
TAF11	2.536952525453440000e-04
ANKS1A	-4.70801077450414e-06
AP3D1	2.458618392980780000e-04
ZNF76	2.28753768667865e-06
SLC9A3R2	-8.568518928501710000e-04
NTHL1	1.32080643742591000e-03
UHRF1BP1	3.68501752880040000e-04
GNAI3	2.79896195317061e-05
IPO5	8.019016255385720000e-04
OAT	4.501434625951460000e-04
WDR3	1.30099618691532000e-03
PKN2	-2.653294795798250000e-04
WDR18	2.49490563175040000e-04
TRAM2	-6.684975332530340000e-04
NTN1	-1.80082721478774000e-03
MCM10	1.41060307544317000e-03
DGKA	-4.277125776693510000e-04
ERBB3	7.67803836326140000e-04
ANKRD44	-1.49137343251913000e-03
KARS	4.480358792418750000e-04
